Title,count
Prolongement travaux Rue de Meaux à QUINCY VOISINS,1
Ligne T12 : Massy Palaiseau-Epinay s/O. 1er/2 juin,3
Bus 389 : Travaux - Arrêt(s) non desservi(s),4
Les horaires de vos lignes évoluent !,2
Rue du Bac : Jeux de Paris 2024 - Station fermée (sans correspondances),1
Bus 281 : Travaux - Arrêt(s) non desservi(s),1
Bus 148 : Travaux - Arrêt(s) non desservi(s),20
"Travaux - Lignes 71, 116 - Du 18 Mars jusqu'à la fin des travaux",1
Métro 9 : Jeux de Paris 2024 - Trafic interrompu,1
Terres d'Envol - Ligne T'bus 2 - Travaux,1
MLV-L2284 Travaux rue d'Emery 31-05 au 28-06,1
Nouvel arrêt à Orly,1
Saint-Paul (Le Marais) : Jeux de Paris 2024 - Station fermée (sans correspondances),1
"Ligne E : Haussmann - Chelles 12, 19, 26/05 - 2/06",4
"Ligne E : Tournan - Haussmann 21/06, 25 au 28/06",5
Ligne C : Trains directs de BFM à Choisy,30
Terres d'Envol - Ligne T'bus 1 - Travaux,1
Déviation - Ligne 191100 - Du 15 Avril au 05 Juillet 2024,1
Bus 181 : Marché/brocante - Arrêt(s) non desservi(s),1
Bus N11 : Travaux - Arrêt(s) non desservi(s),2
"Ligne T4 : Bondy - Aulnay 3 au 8/06, 8/07 au 14/09",90
"⚠🚍 Ligne D, 12, 56, E - du lundi  8 avril au mardi 31 décembre 2024",1
Ligne E : Haussmann - Chelles - Gournay le 19/07,1
"Concorde : Jeux de Paris 2024 - Station fermée, correspondances impossibles",1
SENART- Travaux L32- Gare de Savigny,1
Ligne P : Paris Est - Château-Thierry 3/06 - 23/07,37
RESEAU SENART DEV. DU 10 JUIN AU 07 JUILLET 2024,1
Ligne C : Week-end Grands Travaux 08/06 au 09/06,2
Ligne E : Tournan - Haussmann du 9 au 13/09,5
Bus 323 : Manifestation - Arrêt(s) non desservi(s),2
Bus 82 : Travaux - Arrêt(s) non desservi(s),4
Travaux - du 30/05 au 15/06/24 - lignes R2N et R2S,1
Ligne E : Haussmann St-L. - Chelles du 8 au 16/08,4
Ligne P : Paris Est - Coulommiers du 8/06 au 7/07,8
Bus 256 : Manifestation - Arrêt(s) non desservi(s),4
⚠️Perturbation - Ligne 21 - Dimanche 02 Juin 2024,1
Bus 235 : Manifestation - Arrêt(s) non desservi(s),1
Bus 39 : Manifestation - Arrêt(s) non desservi(s),1
⚠️Déviation - Ligne Intervals - Du 15 Avril au 05 Juillet 2024,1
Ligne U : La Défense-La Verrière du 03/06 au 28/06,11
⚠️🚍Déviation - Ligne 1 - Du 27 Mai au 06 Juin 2024,1
⚠️🚍Déviation - Ligne A - Le dimanche 2 juin 2024,2
Information Bus de nuit Ligne N123,1
Bus 366 : Manifestation - Arrêt(s) non desservi(s),1
Terres d'Envol - Ligne 620 - Travaux,1
Bus 27 : Travaux - Arrêt(s) non desservi(s),4
Bus 144 : Travaux - Arrêt(s) non desservi(s),9
Bus 57 : Travaux - Arrêt(s) non desservi(s),2
Bus 241 : Travaux - Arrêt(s) non desservi(s),2
Travaux rue Nationale de Limay,1
Bus 317 : Travaux - Arrêt(s) non desservi(s),1
Bus 260 : Travaux - Arrêt(s) non desservi(s),1
Bus 89 : Travaux - Arrêt(s) non desservi(s),1
Bus 112 : Manifestation - Arrêt(s) non desservi(s),6
L6284_du 15 mai au 12 juin_report 13h40 LFA,1
Réseau Cergy-Pontoise Confluence : Déviation ligne A1 le dimanche 2 juin 2024 en raison des foulées Achèroises,1
Bus N62 : Travaux - Arrêt(s) non desservi(s),1
Bus N31 : Travaux - Arrêt(s) non desservi(s),3
Bus 140 : Incident sur la voie publique - Arrêt(s) non desservi(s),2
Déplacement arrêt CEA PORTE NORD,1
Ligne J : Paris - Mantes via Poissy 24/06 au 05/07,10
Déviation Evry-Courcouronnes,1
Bus CHARONN : Marché/brocante - Arrêt(s) non desservi(s),1
"Bir-Hakeim : Jeux de Paris 2024 - Station fermée, correspondances impossibles",2
Ligne P : Paris Est - Meaux 21/06,1
⚠️🚍Déviation - Ligne 11 - Du 14 mai 2024 jusqu’à la fin des travaux,1
"Travaux Septeuil - Lignes  2, 60 et CSS",1
Travaux Villemoisson-sur-Orge,1
Bus 157 : Travaux - Arrêt(s) non desservi(s),2
Ligne J : Issou - Mantes du 21/05 au 05/07,33
Bus 182 : Travaux - Arrêt(s) non desservi(s),2
Bus 304 : Travaux - Arrêt(s) non desservi(s),2
Bus 95 : Travaux - Arrêt(s) non desservi(s),1
Bus 45 : Travaux - Arrêt(s) non desservi(s),6
Ligne H : horaires modifiés du 01 au 02 juin.,2
Travaux rue de Mareuil à Quincy-Voisins,1
Ligne E : Haussmann - Chelles-Gournay le 12/08,1
REBAIS Collège fermé Toutes les courses suspendues,1
RER D : Malesherbes - Juvisy 07/05 - 21/06,34
Bus N23 : Travaux - Arrêt(s) non desservi(s),2
⚠️Travaux - Ligne LM - Du 15 Avril au 05 Juillet 2024,1
Ligne P : Esbly - Crécy la Chapelle du 1er au 5/07,5
Métro 9 : Actionnement d'un signal d'alarme - Train stationne,1
Bus 366 : Travaux - Arrêt(s) non desservi(s),2
Bus 270 : Travaux - Arrêt(s) non desservi(s),1
RER D : Interruption Corbeil - Melun 06/05 - 21/06,35
Ligne K : Paris Nord - Mitry-Claye du  01 au 02/06,2
⚠️Perturbation – Ligne 9 – Dimanche 2 juin 2024,1
Bus 158 : Travaux - Arrêt(s) non desservi(s),1
Ligne P : Paris Est - Coulommiers 24/06 au 19/07,20
Bus 104 : Manifestation - Arrêt(s) non desservi(s),2
Travaux Saint-Rémy-l'Honoré - Lignes P et V,1
Bus 28 : Préparation des Jeux de Paris 2024 - Arrêt(s) non desservi(s),2
Bus 96 : Manifestation - Arrêt(s) non desservi(s),1
Kléber : Jeux de Paris 2024 - Station fermée (sans correspondances),2
Bus 480 (SGO) - Aéroport d'Orly 1-2-3 - Nouvel emplacement,1
Ligne P : Château-Thierry - Paris Est 13 au 21/07,3
Perturbation - Ligne 23A - Le 1er Mai 2024 jusqu'au 1er Mai 2025,1
Évènement - Lignes 8 et R4 - le 01/06/2024,1
Bus 272 : Travaux - Arrêt(s) non desservi(s),6
⚠️Déviation - Ligne 6 - Du 06 Novembre 2023 au 01 Septembre 2024,1
Ligne E : Haussmann - Chelles-Gournay le 6/06,1
Ligne E : Chelles - Gournay - Haussmann le 15/07,1
Terres d'Envol - Ligne 609 - Travaux,1
L6246-27/2 au 31/07/2024-Travaux secteur Pasteur,1
Bus 235 : Incident sur la voie publique - Arrêt(s) non desservi(s),62
Ligne J : Les Mureaux - Paris du 15/04 au 12/07,64
Saâcy-sur-Marne - Fête foraine,1
🚧 5141 5150 5151 - Manifestations sportives à Guyancourt : samedi 1er juin 2024,1
⚠️🚍#InfoTrafic - Ligne 37C - Du 2 Septembre 2024 au 2 Octobre 2024,1
Bus 80 : Travaux - Arrêt(s) non desservi(s),1
Bus 126 : Travaux - Arrêt(s) non desservi(s),3
BOISSY - Travaux Boulevard Léon Révillon,1
Ligne C : A.Henri-Martin-Pontoise 03/06 au 12/07,27
Ligne E : Chelles-G. - Haussmann du 17 au 20/09,4
Bus 162 : Travaux - Arrêt(s) non desservi(s),1
CRETEIL - Travaux Grands Paris L'Echat,1
Bus 595 : Travaux - Arrêt(s) non desservi(s),2
Terres d'Envol - Ligne 39 - Perturbation,1
Ligne C : Austerlitz-Juvisy 03/06 au 12/07,29
Réfection RD1004 Ligne 3214,1
Ligne J : Argenteuil - Mantes/Gisors 16 et 30 juin,2
Bus de soirée,1
Travaux Massy,1
Bus 278 : Travaux - Arrêt(s) non desservi(s),2
L9110 L9111 CEA PORTE NORD,1
MLV-L2224 report arrêt GIBERT à Lagny-sur-Marne..,1
Ligne E : interrompue jusqu'à 6h00 le 22/09,1
Bus 124 : Manifestation - Arrêt(s) non desservi(s),4
Bus 306 : Manifestation - Arrêt(s) non desservi(s),2
Ligne E : Haussmann St-L. - Tournan 1er et 2/06,2
L6251 et L6288_Déplacement AERODROME,1
Manifestation Morsang-sur-Orge,1
"Solférino : Jeux de Paris 2024 - Station fermée, correspondances impossibles",1
Ligne E : Haussmann - Villiers du 06/06 au 19/07,27
Ligne P : Paris Est - Coulommiers 13/05 au 20/06,29
Ligne P : Paris Est - Meaux/Château-T. 24/07-11/08,1
L6202_brocante 2 juin 2024,1
Dammaarie les Lys Travaux H. Barbusse,1
Bus 191 : Manifestation - Arrêt(s) non desservi(s),3
MLV-L2291 travaux Annet du 25-05 au 06-07-24 (1/2),1
Bus 48 : Travaux - Arrêt(s) non desservi(s),1
Bus 183 : Travaux - Arrêt(s) non desservi(s),4
Bus 388 : Travaux - Arrêt(s) non desservi(s),1
Ligne N : Paris - Rambouillet 17-20 et 24-28/06/24,7
⚠️🚍Déviation - Lignes 31 et 9502 - Du lundi 21 mai 2024 jusqu’à la fin des travaux,1
"Travaux Bullion - Lignes 4, 29 et 39-07B",1
Iéna : Jeux de Paris 2024 - Station fermée (sans correspondances),1
Ligne P : Paris Est - Meaux 6 et 7/07,2
Ligne E : gares non desservies du 23 au 26/09,4
Bus CHOISYB : Travaux - Arrêt(s) non desservi(s),1
Bus 367 : Travaux - Arrêt(s) non desservi(s),4
Bus 303 : Travaux - Arrêt(s) non desservi(s),2
"⚠️🚍Déviation - Lignes 9501, R114, R117 - Du 08 avril jusqu’à la fin des travaux",1
Assemblée Nationale : Jeux de Paris 2024 - Station fermée (sans correspondances),1
Bus 26 : Travaux - Arrêt(s) non desservi(s),3
Bus TVM : Travaux - Arrêt(s) non desservi(s),1
⚠️🚍Déviation - Ligne 2176 - Du 25 avril jusqu’à la fin de travaux,1
MLV-L2234 brocante de Bailly le 02-06-2024,1
Déviation Lignes 603 et 623,1
MLV-L07 Décalage horaire du mercredi,1
Métro 6 : Jeux de Paris 2024 - Trafic interrompu,2
Bus 148 : Manifestation - Arrêt(s) non desservi(s),1
RESEAU SENART DEVIATION POUR LE 14 JUIN,1
"Arrêt Cartonnerie, Dammarie-les-Lys",1
Bus 32 : Travaux - Arrêt(s) non desservi(s),1
Ligne P : Paris Est - Meaux le 16/07,1
Ligne N : Paris Montp. - Plaisir Gr. 3 au 28/06/24,15
Bus 382 : Stationnement gênant - Arrêt(s) non desservi(s),2
Ligne P : Paris Est - Coulommiers - 25/05 au 02/06,4
Ligne L : Bécon - Maisons-Laffitte du 17 au 20/06,4
Ligne 1,1
Ligne N : Paris Montp. - Dreux du 3 au 28/06/24,15
Dupleix : Jeux de Paris 2024 - Station fermée (sans correspondances),2
Bus Licorne (SGO) - Place Colonel A. Beltrame - Nouvel emplacement,1
